,sort,class,p_value,t_statistic,ratio,aaa,bbb
0,1,024,1.4161863934043038e-06,-4.865241990205811,1,0.0023527306338772523,0.017025682980648747
1,2,159,2.158525748603141e-06,-4.778362837529681,1,0.0028036887120112246,0.017401741806726476
2,3,212,3.7421450210800646e-05,-4.149772364458188,1,0.0016685433494753703,0.013869865912755063
3,4,245,3.945293403663832e-05,-4.137353213066848,1,0.0031328018192957343,0.011061637871050033
4,5,113,5.9195454902518654e-05,-4.040946691031879,1,0.0020109156713204015,0.007683890260937108
5,6,206,6.289911693487722e-05,-4.026356710772916,1,0.005071929804039922,0.013049895554634363
6,7,012,0.0001311933677765364,-3.8458717201039785,1,0.0024815886199616136,0.010069348918536374
7,8,213,0.00019533279747796468,-3.745063048011047,1,0.0004933598641637798,0.0070862278853548654
8,9,128,0.00022365120944914258,-3.710243828727035,1,0.0014125848918231903,0.010994718019789464
9,10,252,0.00025129796914822916,-3.680043459447712,1,0.0016044955528012991,0.01065012845958748
10,11,143,0.00034553293433360784,-3.5964322748453323,1,0.0007974692235786266,0.010758181707467932
11,12,201,0.00041248930188551126,-3.5492058870858045,1,0.0035840036536797784,0.013256561691833079
12,13,002,0.0004914303486348554,-3.5019869864383075,1,0.0023274627428237675,0.003971492191780243
13,14,037,0.00052424264313405,-3.48442156302105,1,0.002164971418987335,0.007486970648121161
14,15,161,0.0008304348994175115,-3.3571814618894678,1,0.0010780405916764409,0.010448264478819637
15,16,120,0.0009533793290727642,-3.318193209106804,1,0.0017761040449570608,0.008234400112955103
16,17,221,0.0011236298695742094,-3.271287235597591,1,0.0008901898801931749,0.010775177486888254
17,18,046,0.0018280250232970473,-3.1289274881748943,1,0.00569271674098521,0.0163692910024862
18,19,001,0.0019103462692789494,-3.115776186384621,1,0.0017723824348460772,0.010929655648230091
19,20,049,0.002175298178164035,-3.076727227731827,1,0.003094296480259906,0.013908358753139676
20,21,087,0.0024674754229488125,-3.038439918330184,1,0.005296031302116306,0.011919490353550834
21,22,061,0.002541884721891336,-3.029355872563391,1,0.002428612784005329,0.01010320737982784
22,23,047,0.0026368695621358375,-3.0181076654076384,1,0.0014463972714937557,0.010649944634540342
23,24,036,0.0031172346637356797,-2.966351707701521,1,0.0007668720629720061,0.008837506684798267
24,25,086,0.003288085615598994,-2.949692997154775,1,0.0023387591900149193,0.007081902924298415
25,26,019,0.0037579506125291116,-2.907650439318195,1,0.00503748600337482,0.013588606497247182
26,27,003,0.004561476491181154,-2.845757544158989,1,0.006590748464924785,0.016642768082660915
27,28,007,0.005067935382041662,-2.811663337060106,1,0.0017881025005789604,0.0076765394011899125
28,29,123,0.006783975320805398,-2.7154242704249203,1,0.005134177727239735,0.014058826894571035
29,30,244,0.006951853192456992,-2.7072320612026837,1,0.001690527756342156,0.007136234658084368
30,31,044,0.0070722423754943,-2.7014661791162062,1,0.0018555162964996777,0.007676365664720882
31,32,100,0.007447233922438496,-2.6840557037781685,1,0.0024723559180605758,0.008624722459722596
32,33,191,0.008535773750139808,-2.637640403577297,1,0.001806889200407522,0.007073140792877714
33,34,016,0.009691453207185853,-2.5938432991832987,1,0.0031455456971302025,0.005376369334835341
34,35,186,0.011915396013630149,-2.5213001779113235,1,0.0022451601682527533,0.009500030773093342
35,36,017,0.014481249409304408,-2.451268999945102,1,0.001342268689237396,0.0026933055075110783
36,37,205,0.016072274410828452,-2.4131848666174998,1,0.0005318954628638079,0.005024578863581718
37,38,250,0.01613702354558254,-2.411706564275497,1,0.001086972368179807,0.00405477095587273
38,39,217,0.016605468362647643,-2.4011643348116904,1,0.004095157609793366,0.008953029309716398
39,40,028,0.0210248625459531,-2.312814228613322,1,0.001089873957840339,0.006007771427060936
40,41,058,0.024651689042182724,-2.2517301695840404,1,0.0023105147767292066,0.006951126607886287
41,42,137,0.026020821660409393,-2.230692329492392,1,0.0013521601629383569,0.006262042321434888
42,43,010,0.028282628210099598,-2.197950742671699,1,0.002223538103621737,0.008339769434952245
43,44,238,0.03335342793536251,-2.1320541101155612,1,0.0020517304741355935,0.00634533098625986
44,45,214,0.03365138130763286,-2.128456776992396,1,0.0008563234569290793,0.007312361452871409
45,46,179,0.03494623370816877,-2.1131335610958724,1,0.0010249206973819334,0.005557580093656351
46,47,027,0.03696142003273476,-2.0902255591723584,1,0.00045554215757632696,0.0013817340366733106
47,48,067,0.03710034744174013,-2.088685911755767,1,0.0052425291580810865,0.006638476370888703
48,49,051,0.03842879865065741,-2.0742066237041885,1,0.00500427765675064,0.009827820483013212
49,50,033,0.040247954096462514,-2.0550554608399287,1,0.0015184485231390199,0.007347083530242545
50,51,105,0.0437971051905712,-2.019717274242627,1,0.0014416968175205546,0.00666707268155196
51,52,247,0.04433482589600427,-2.0145767673610355,1,0.005485551699916829,0.012250235688396045
52,53,102,0.048730844611729836,-1.9744181309186797,1,0.0017352030381272495,0.005589670900968183
53,54,065,0.051173067954352114,-1.9534098616274873,1,0.0011596098784201812,0.003149672243542909
54,55,193,0.05127188429298365,-1.952577703306439,1,0.002258620558543663,0.003669839852600792
55,56,071,0.052180676423648376,-1.944986946745476,1,0.00029519180279475503,0.006092610727989397
56,57,106,0.05465703949745606,-1.9248509685073933,1,0.0038415507921096877,0.006496402030999931
57,58,254,0.06349663737636493,-1.8586773307572393,1,0.0028697421774799246,0.006855019388171465
58,59,166,0.06549406893767216,-1.8447938808991238,1,0.0009643610149423144,0.002141091605211041
59,60,169,0.06580052896168244,-1.842694858272249,1,0.005320802984518482,0.009312349468063252
60,61,040,0.07404228721699227,-1.78905686981477,1,0.004254967576287611,0.00939803468761674
61,62,094,0.08392220541670592,-1.730858027262512,1,0.0003284275320258566,0.0013755066566975838
62,63,208,0.0869531335211527,-1.7141238183956362,1,0.0014067590865036966,0.006479853609857658
63,64,116,0.09541062306084393,-1.6697995456240562,1,0.0027201782930106368,0.005615156980703199
64,65,090,0.09752337054135884,-1.6592227245475735,1,0.003030347274864414,0.007097271081007391
65,66,153,0.1291935429579166,-1.5190994270290727,1,0.000951113022501464,0.005100933013682585
66,67,020,0.13384094622424375,-1.5008843112622197,1,0.00024032597104648132,0.0015180593978665635
67,68,231,0.13684965729857188,-1.4893519443563548,1,0.003975740423534823,0.0049844647627999205
68,69,144,0.14697217284840644,-1.4519352564869266,1,0.0030524146264010797,0.008303367860734902
69,70,163,0.14788652164294444,-1.4486540596742987,1,0.002117594737054418,0.005781517450188517
70,71,122,0.15927719993941983,-1.409021998892749,1,0.005096326326081469,0.006442028462528791
71,72,145,0.16766868985941072,-1.3811803925640025,1,0.0030926174671711305,0.006775656499377683
72,73,239,0.1762252365118388,-1.3538510926515963,1,0.00446444615232896,0.008203580917326998
73,74,038,0.1780669307524247,-1.34809925518378,1,0.006230032851522853,0.009049662646825088
74,75,011,0.1794782859426344,-1.343721383581198,1,0.0009160334502359145,0.001775060164045796
75,76,199,0.2005113176867485,-1.2813158625962922,1,0.0047023348866213135,0.007040589381269776
76,77,174,0.20134831996373873,-1.2789342037962013,1,0.004114190564785662,0.007130107698834738
77,78,241,0.20819866660714437,-1.2597083437649332,1,0.0009943255255342634,0.004033848967133106
78,79,108,0.2291027882761036,-1.203735625128314,1,0.002760883359189513,0.0054507510266588455
79,80,118,0.23485724444344497,-1.1889737394167306,1,0.0006251862511730981,0.003693198293754484
80,81,248,0.25755332224057825,-1.133125733314065,1,0.0018763409799960806,0.002223722211005491
81,82,229,0.25938129016681843,-1.1287799045505083,1,0.00012652245814309852,0.0005584802430155484
82,83,203,0.2684458177539863,-1.1075376232320244,1,0.00020128471032697886,0.002973129443181688
83,84,133,0.2716515535124376,-1.1001436245844205,1,0.0034882001246024546,0.0066441058169945146
84,85,126,0.2770030377011901,-1.0879326981350332,1,0.0032369742198341592,0.005104599878676341
85,86,075,0.2805807957345016,-1.079858670286264,1,0.0009735006651961113,0.0030983701633745214
86,87,096,0.29372331274581986,-1.0507856825914605,1,0.003735741387325358,0.0048855430202339
87,88,228,0.303827039701258,-1.0290247900241525,1,0.0025180781899228656,0.0035333389770197104
88,89,138,0.31593650633941733,-1.0035693692903396,1,0.0015011421135133524,0.0032608631924935915
89,90,242,0.35009067318102693,-0.9350452632657844,1,0.0012796987081158953,0.0017636591073764618
90,91,178,0.35080361166155705,-0.9336617100908666,1,0.00039910028435214133,0.0005925755932132555
